Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
04/01/2021,155,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,156,,VFIDX,Dividend Reinvested,0,5.21
04/01/2021,157,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,158,,VFIDX,Dividend Reinvested,0,5.21
04/01/2021,159,,VFSUX,Dividend Reinvested,0,120.22
04/01/2021,160,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,161,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,162,,VFIDX,Dividend Reinvested,0,4.92
04/01/2021,163,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,164,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,165,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,166,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,167,,VFIDX,Dividend Reinvested,0,141.61
04/01/2021,168,,VFSUX,Dividend Reinvested,0,379.75
04/01/2021,169,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,170,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,171,,VFIDX,Dividend Reinvested,0,511.62
04/01/2021,172,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,173,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,174,,VFSUX,Dividend Reinvested,0,108.1
04/01/2021,175,,UN:008F8486/11800,Management Fee,0,-78.29
04/01/2021,176,,UN:008F8486/11800,Remark,0,78.29
04/01/2021,177,,VMFXX,Management Fee,0,-78.29
04/01/2021,178,,VFSTX,Dividend Reinvested,0,78.29
04/01/2021,179,,UN:008F8486/11800,Management Fee,0,-117.82
04/01/2021,180,,UN:008F8486/11800,Remark,0,117.82
04/01/2021,181,,VMFXX,Management Fee,0,-117.82
04/01/2021,182,,VWSUX,Dividend Reinvested,0,117.82
04/01/2021,183,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,184,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,185,,FI:3907/335,Remark,0.013,-0.21
04/01/2021,186,,DODGX,Interest Reinvested,0,0.09
04/01/2021,187,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,188,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,189,,VSIIX,Remark,0.009,-0.31
04/01/2021,190,,FBGKX,Interest Reinvested,0,0.06
04/01/2021,191,,RERGX,Interest Reinvested,0,0.03
04/01/2021,192,,FXAIX,Management Fee,-0.021,2.74
04/01/2021,193,,PRJIX,Management Fee,-0.003,0.26
04/01/2021,194,,OPYM,Management Fee,-0.002,0.28
04/01/2021,195,,OPYI,Management Fee,-0.046,2.27
04/01/2021,196,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,197,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,198,,FI:3907/335,Remark,0.013,-0.21
04/01/2021,199,,DODGX,Interest Reinvested,0,0.09
04/01/2021,200,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,201,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,202,,VSIIX,Remark,0.009,-0.31
04/01/2021,203,,FBGKX,Interest Reinvested,0,0.06
04/01/2021,204,,RERGX,Interest Reinvested,0,0.03
04/01/2021,205,,FXAIX,Management Fee,-0.021,2.74
04/01/2021,206,,PRJIX,Management Fee,-0.003,0.26
04/01/2021,207,,OPYM,Management Fee,-0.002,0.28
04/01/2021,208,,OPYI,Management Fee,-0.046,2.27
04/01/2021,209,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,210,,FI:3907/335,Management Fee,-0.013,0.21
04/01/2021,211,,FI:3907/335,Remark,0.013,-0.21
04/01/2021,212,,DODGX,Interest Reinvested,0,0.09
04/01/2021,213,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,214,,VSIIX,Management Fee,-0.009,0.31
04/01/2021,215,,VSIIX,Remark,0.009,-0.31
04/01/2021,216,,FBGKX,Interest Reinvested,0,0.06
04/01/2021,217,,RERGX,Interest Reinvested,0,0.03
04/01/2021,218,,FXAIX,Management Fee,-0.021,2.74
04/01/2021,219,,PRJIX,Management Fee,-0.003,0.26
04/01/2021,220,,OPYM,Management Fee,-0.002,0.28
04/01/2021,221,,OPYI,Management Fee,-0.046,2.27
04/01/2021,222,,RCL,Buy,25,-1764.75
04/01/2021,223,,BYND,Buy,10,-1247.35
04/01/2021,224,,DIS,Sell,-10,1768.07
04/01/2021,225,,WMT,Dividend Reinvested,0,13.5
04/01/2021,226,,CHRW,Dividend Reinvested,0,31.62
04/01/2021,227,,70470RAQ7,Interest Reinvested,0,57.38
04/01/2021,228,,FI:QACDS/212,Buy,0.27,-0.27
04/01/2021,229,,CASH:CASH,Interest Reinvested,0,0.27
04/01/2021,231,,AAL,Contribution,5,-75.95
04/01/2021,232,,DVY,Buy,25,-2404.5
04/01/2021,233,,ACWI,Buy,27,-2473.2
04/01/2021,234,,XAR,Buy,57,-6517.38
04/01/2021,235,,XAR,Buy,21,-2401.14
04/01/2021,238,,SPY,Buy,3,-1102.02
04/01/2021,249,,CASH:CASH,Remark,0,-300
04/01/2021,250,,CASH:CASH,Remark,0,106.54
04/01/2021,251,,CASH:CASH,Remark,0,18
04/01/2021,252,,CASH:CASH,Remark,0,67.88
04/01/2021,254,,SWPPX,Buy,1.768,-100
04/01/2021,255,,SWPPX,Buy,1.768,-100
04/01/2021,256,,SWPPX,Buy,1.768,-100
04/01/2021,257,,SWPPX,Buy,1.768,-100
04/01/2021,258,,SWPPX,Buy,1.768,-100
04/01/2021,259,,SWPPX,Buy,1.768,-100
04/01/2021,270,,CASH:CASH,Remark,0,-300
04/01/2021,271,,CASH:CASH,Remark,0,106.54
04/01/2021,272,,CASH:CASH,Remark,0,18
04/01/2021,273,,CASH:CASH,Remark,0,67.88
04/01/2021,280,,NHMAX,Dividend Reinvested,0,143.26
04/01/2021,281,,NHMAX,Dividend Paid from Cash,0,-143.26
04/01/2021,282,,CASH:CASH,Interest Reinvested,0,328.13
04/01/2021,283,,CASH:CASH,Interest Reinvested,0,300
04/01/2021,284,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,285,,CASH:CASH,Interest Reinvested,0,212.5
04/01/2021,286,,CASH:CASH,Interest Reinvested,0,50
04/01/2021,287,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,288,,CASH:CASH,Interest Reinvested,0,337.5
04/01/2021,289,,CASH:CASH,Interest Reinvested,0,800
04/01/2021,290,,CASH:CASH,Interest Reinvested,0,175
04/01/2021,291,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,292,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,293,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,294,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,295,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,296,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,297,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,298,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,299,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,300,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,301,,CASH:CASH,Interest Reinvested,0,896.88
